employee_number,Municipality,Time_period,Economic_entities_in_operation_at_the_beginning_of_the_year_units,Country,County
0–4 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
0–4 employees,Šakiai d. mun.,2016,285,Republic of Lithuania,Marijampole county
0–4 employees,Vilkaviškis d. mun.,2016,287,Republic of Lithuania,Marijampole county
0–4 employees,Biržai d. mun.,2016,245,Republic of Lithuania,Panevezys county
0–4 employees,Kupiškis d. mun.,2016,151,Republic of Lithuania,Panevezys county
0–4 employees,Panevėžys c. mun.,2016,2310,Republic of Lithuania,Panevezys county
0–4 employees,Panevėžys d. mun.,2016,521,Republic of Lithuania,Panevezys county
0–4 employees,Pasvalys d. mun.,2016,206,Republic of Lithuania,Panevezys county
0–4 employees,Rokiškis d. mun.,2016,337,Republic of Lithuania,Panevezys county
0–4 employees,Akmenė d. mun.,2016,186,Republic of Lithuania,Siauliai county
0–4 employees,Joniškis d. mun.,2016,247,Republic of Lithuania,Siauliai county
0–4 employees,Kelmė d. mun.,2016,265,Republic of Lithuania,Siauliai county
0–4 employees,Pakruojis d. mun.,2016,213,Republic of Lithuania,Siauliai county
0–4 employees,Radviliškis d. mun.,2016,346,Republic of Lithuania,Siauliai county
0–4 employees,Šiauliai c. mun.,2016,2423,Republic of Lithuania,Siauliai county
0–4 employees,Šiauliai d. mun.,2016,520,Republic of Lithuania,Siauliai county
0–4 employees,Jurbarkas d. mun.,2016,272,Republic of Lithuania,Taurage county
0–4 employees,Pagėgiai mun.,2016,96,Republic of Lithuania,Taurage county
0–4 employees,Šilalė d. mun.,2016,239,Republic of Lithuania,Taurage county
0–4 employees,Tauragė d. mun.,2016,632,Republic of Lithuania,Taurage county
0–4 employees,Mažeikiai d. mun.,2016,820,Republic of Lithuania,Telsiai county
0–4 employees,Plungė d. mun.,2016,435,Republic of Lithuania,Telsiai county
0–4 employees,Rietavas mun.,2016,102,Republic of Lithuania,Telsiai county
0–4 employees,Telšiai d. mun.,2016,509,Republic of Lithuania,Telsiai county
0–4 employees,Anykščiai d. mun.,2016,275,Republic of Lithuania,Utena county
0–4 employees,Ignalina d. mun.,2016,133,Republic of Lithuania,Utena county
0–4 employees,Molėtai d. mun.,2016,247,Republic of Lithuania,Utena county
0–4 employees,Utena d. mun.,2016,558,Republic of Lithuania,Utena county
0–4 employees,Visaginas mun.,2016,290,Republic of Lithuania,Utena county
0–4 employees,Zarasai d. mun.,2016,158,Republic of Lithuania,Utena county
0–4 employees,Elektrėnai mun.,2016,223,Republic of Lithuania,Vilnius county
0–4 employees,Šalčininkai d. mun.,2016,252,Republic of Lithuania,Vilnius county
0–4 employees,Širvintos d. mun.,2016,143,Republic of Lithuania,Vilnius county
0–4 employees,Švenčionys d. mun.,2016,173,Republic of Lithuania,Vilnius county
0–4 employees,Trakai d. mun.,2016,400,Republic of Lithuania,Vilnius county
0–4 employees,Ukmergė d. mun.,2016,384,Republic of Lithuania,Vilnius county
0–4 employees,Vilnius c. mun.,2016,23825,Republic of Lithuania,Vilnius county
0–4 employees,Vilnius d. mun.,2016,1503,Republic of Lithuania,Vilnius county
5–9 employees,Alytus t. mun.,2016,273,Republic of Lithuania,Alytus county
5–9 employees,Alytus d. mun.,2016,64,Republic of Lithuania,Alytus county
5–9 employees,Druskininkai mun.,2016,105,Republic of Lithuania,Alytus county
5–9 employees,Lazdijai d. mun.,2016,36,Republic of Lithuania,Alytus county
5–9 employees,Varėna d. mun.,2016,66,Republic of Lithuania,Alytus county
5–9 employees,Birštonas mun.,2016,15,Republic of Lithuania,Kanuas county
5–9 employees,Jonava d. mun.,2016,162,Republic of Lithuania,Kanuas county
5–9 employees,Kaišiadorys d. mun.,2016,94,Republic of Lithuania,Kanuas county
5–9 employees,Kaunas c. mun.,2016,2493,Republic of Lithuania,Kanuas county
5–9 employees,Kaunas d. mun.,2016,451,Republic of Lithuania,Kanuas county
5–9 employees,Kėdainiai d. mun.,2016,159,Republic of Lithuania,Kanuas county
5–9 employees,Prienai d. mun.,2016,89,Republic of Lithuania,Kanuas county
5–9 employees,Raseiniai d. mun.,2016,104,Republic of Lithuania,Kanuas county
5–9 employees,Klaipėda c. mun.,2016,1190,Republic of Lithuania,Klaipeda county
5–9 employees,Klaipėda d. mun.,2016,309,Republic of Lithuania,Klaipeda county
5–9 employees,Kretinga d. mun.,2016,170,Republic of Lithuania,Klaipeda county
5–9 employees,Neringa mun.,2016,35,Republic of Lithuania,Klaipeda county
5–9 employees,Palanga t. mun.,2016,112,Republic of Lithuania,Klaipeda county
5–9 employees,Skuodas d. mun.,2016,66,Republic of Lithuania,Klaipeda county
5–9 employees,Šilutė d. mun.,2016,168,Republic of Lithuania,Klaipeda county
5–9 employees,Kalvarija mun.,2016,12,Republic of Lithuania,Marijampole county
5–9 employees,Kazlų Rūda mun.,2016,31,Republic of Lithuania,Marijampole county
5–9 employees,Marijampolė mun.,2016,283,Republic of Lithuania,Marijampole county
5–9 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
5–9 employees,Šakiai d. mun.,2016,79,Republic of Lithuania,Marijampole county
5–9 employees,Vilkaviškis d. mun.,2016,92,Republic of Lithuania,Marijampole county
5–9 employees,Biržai d. mun.,2016,68,Republic of Lithuania,Panevezys county
5–9 employees,Kupiškis d. mun.,2016,56,Republic of Lithuania,Panevezys county
5–9 employees,Panevėžys c. mun.,2016,525,Republic of Lithuania,Panevezys county
5–9 employees,Panevėžys d. mun.,2016,141,Republic of Lithuania,Panevezys county
5–9 employees,Pasvalys d. mun.,2016,62,Republic of Lithuania,Panevezys county
5–9 employees,Rokiškis d. mun.,2016,90,Republic of Lithuania,Panevezys county
5–9 employees,Akmenė d. mun.,2016,52,Republic of Lithuania,Siauliai county
5–9 employees,Joniškis d. mun.,2016,54,Republic of Lithuania,Siauliai county
5–9 employees,Kelmė d. mun.,2016,75,Republic of Lithuania,Siauliai county
5–9 employees,Pakruojis d. mun.,2016,53,Republic of Lithuania,Siauliai county
5–9 employees,Radviliškis d. mun.,2016,106,Republic of Lithuania,Siauliai county
5–9 employees,Šiauliai c. mun.,2016,640,Republic of Lithuania,Siauliai county
5–9 employees,Šiauliai d. mun.,2016,154,Republic of Lithuania,Siauliai county
5–9 employees,Jurbarkas d. mun.,2016,84,Republic of Lithuania,Taurage county
5–9 employees,Pagėgiai mun.,2016,16,Republic of Lithuania,Taurage county
5–9 employees,Šilalė d. mun.,2016,84,Republic of Lithuania,Taurage county
5–9 employees,Tauragė d. mun.,2016,194,Republic of Lithuania,Taurage county
5–9 employees,Mažeikiai d. mun.,2016,275,Republic of Lithuania,Telsiai county
5–9 employees,Plungė d. mun.,2016,149,Republic of Lithuania,Telsiai county
5–9 employees,Rietavas mun.,2016,28,Republic of Lithuania,Telsiai county
5–9 employees,Telšiai d. mun.,2016,169,Republic of Lithuania,Telsiai county
5–9 employees,Anykščiai d. mun.,2016,91,Republic of Lithuania,Utena county
5–9 employees,Ignalina d. mun.,2016,37,Republic of Lithuania,Utena county
5–9 employees,Molėtai d. mun.,2016,63,Republic of Lithuania,Utena county
5–9 employees,Utena d. mun.,2016,145,Republic of Lithuania,Utena county
5–9 employees,Visaginas mun.,2016,71,Republic of Lithuania,Utena county
5–9 employees,Zarasai d. mun.,2016,41,Republic of Lithuania,Utena county
5–9 employees,Elektrėnai mun.,2016,71,Republic of Lithuania,Vilnius county
5–9 employees,Šalčininkai d. mun.,2016,91,Republic of Lithuania,Vilnius county
5–9 employees,Širvintos d. mun.,2016,50,Republic of Lithuania,Vilnius county
5–9 employees,Švenčionys d. mun.,2016,63,Republic of Lithuania,Vilnius county
5–9 employees,Trakai d. mun.,2016,126,Republic of Lithuania,Vilnius county
5–9 employees,Ukmergė d. mun.,2016,128,Republic of Lithuania,Vilnius county
5–9 employees,Vilnius c. mun.,2016,5663,Republic of Lithuania,Vilnius county
5–9 employees,Vilnius d. mun.,2016,436,Republic of Lithuania,Vilnius county
10–19 employees,Alytus t. mun.,2016,137,Republic of Lithuania,Alytus county
10–19 employees,Alytus d. mun.,2016,45,Republic of Lithuania,Alytus county
10–19 employees,Druskininkai mun.,2016,40,Republic of Lithuania,Alytus county
10–19 employees,Lazdijai d. mun.,2016,30,Republic of Lithuania,Alytus county
10–19 employees,Varėna d. mun.,2016,38,Republic of Lithuania,Alytus county
10–19 employees,Birštonas mun.,2016,14,Republic of Lithuania,Kanuas county
10–19 employees,Jonava d. mun.,2016,80,Republic of Lithuania,Kanuas county
10–19 employees,Kaišiadorys d. mun.,2016,56,Republic of Lithuania,Kanuas county
10–19 employees,Kaunas c. mun.,2016,1307,Republic of Lithuania,Kanuas county
10–19 employees,Kaunas d. mun.,2016,244,Republic of Lithuania,Kanuas county
10–19 employees,Kėdainiai d. mun.,2016,85,Republic of Lithuania,Kanuas county
10–19 employees,Prienai d. mun.,2016,50,Republic of Lithuania,Kanuas county
10–19 employees,Raseiniai d. mun.,2016,62,Republic of Lithuania,Kanuas county
10–19 employees,Klaipėda c. mun.,2016,602,Republic of Lithuania,Klaipeda county
10–19 employees,Klaipėda d. mun.,2016,159,Republic of Lithuania,Klaipeda county
10–19 employees,Kretinga d. mun.,2016,86,Republic of Lithuania,Klaipeda county
10–19 employees,Neringa mun.,2016,17,Republic of Lithuania,Klaipeda county
10–19 employees,Palanga t. mun.,2016,64,Republic of Lithuania,Klaipeda county
10–19 employees,Skuodas d. mun.,2016,28,Republic of Lithuania,Klaipeda county
10–19 employees,Šilutė d. mun.,2016,94,Republic of Lithuania,Klaipeda county
10–19 employees,Kalvarija mun.,2016,18,Republic of Lithuania,Marijampole county
10–19 employees,Kazlų Rūda mun.,2016,26,Republic of Lithuania,Marijampole county
10–19 employees,Marijampolė mun.,2016,128,Republic of Lithuania,Marijampole county
10–19 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
10–19 employees,Šakiai d. mun.,2016,49,Republic of Lithuania,Marijampole county
10–19 employees,Vilkaviškis d. mun.,2016,57,Republic of Lithuania,Marijampole county
10–19 employees,Biržai d. mun.,2016,27,Republic of Lithuania,Panevezys county
10–19 employees,Kupiškis d. mun.,2016,25,Republic of Lithuania,Panevezys county
10–19 employees,Panevėžys c. mun.,2016,298,Republic of Lithuania,Panevezys county
10–19 employees,Panevėžys d. mun.,2016,86,Republic of Lithuania,Panevezys county
10–19 employees,Pasvalys d. mun.,2016,41,Republic of Lithuania,Panevezys county
10–19 employees,Rokiškis d. mun.,2016,49,Republic of Lithuania,Panevezys county
10–19 employees,Akmenė d. mun.,2016,35,Republic of Lithuania,Siauliai county
10–19 employees,Joniškis d. mun.,2016,39,Republic of Lithuania,Siauliai county
10–19 employees,Kelmė d. mun.,2016,54,Republic of Lithuania,Siauliai county
10–19 employees,Pakruojis d. mun.,2016,39,Republic of Lithuania,Siauliai county
10–19 employees,Radviliškis d. mun.,2016,72,Republic of Lithuania,Siauliai county
10–19 employees,Šiauliai c. mun.,2016,372,Republic of Lithuania,Siauliai county
10–19 employees,Šiauliai d. mun.,2016,92,Republic of Lithuania,Siauliai county
10–19 employees,Jurbarkas d. mun.,2016,52,Republic of Lithuania,Taurage county
10–19 employees,Pagėgiai mun.,2016,20,Republic of Lithuania,Taurage county
10–19 employees,Šilalė d. mun.,2016,45,Republic of Lithuania,Taurage county
10–19 employees,Tauragė d. mun.,2016,106,Republic of Lithuania,Taurage county
10–19 employees,Mažeikiai d. mun.,2016,141,Republic of Lithuania,Telsiai county
10–19 employees,Plungė d. mun.,2016,101,Republic of Lithuania,Telsiai county
10–19 employees,Rietavas mun.,2016,20,Republic of Lithuania,Telsiai county
10–19 employees,Telšiai d. mun.,2016,99,Republic of Lithuania,Telsiai county
10–19 employees,Anykščiai d. mun.,2016,33,Republic of Lithuania,Utena county
10–19 employees,Ignalina d. mun.,2016,21,Republic of Lithuania,Utena county
10–19 employees,Molėtai d. mun.,2016,38,Republic of Lithuania,Utena county
10–19 employees,Utena d. mun.,2016,91,Republic of Lithuania,Utena county
10–19 employees,Visaginas mun.,2016,30,Republic of Lithuania,Utena county
10–19 employees,Zarasai d. mun.,2016,32,Republic of Lithuania,Utena county
10–19 employees,Elektrėnai mun.,2016,48,Republic of Lithuania,Vilnius county
10–19 employees,Šalčininkai d. mun.,2016,46,Republic of Lithuania,Vilnius county
10–19 employees,Širvintos d. mun.,2016,32,Republic of Lithuania,Vilnius county
10–19 employees,Švenčionys d. mun.,2016,34,Republic of Lithuania,Vilnius county
10–19 employees,Trakai d. mun.,2016,64,Republic of Lithuania,Vilnius county
10–19 employees,Ukmergė d. mun.,2016,70,Republic of Lithuania,Vilnius county
10–19 employees,Vilnius c. mun.,2016,2774,Republic of Lithuania,Vilnius county
10–19 employees,Vilnius d. mun.,2016,206,Republic of Lithuania,Vilnius county
20–49 employees,Alytus t. mun.,2016,100,Republic of Lithuania,Alytus county
20–49 employees,Alytus d. mun.,2016,27,Republic of Lithuania,Alytus county
20–49 employees,Druskininkai mun.,2016,35,Republic of Lithuania,Alytus county
20–49 employees,Lazdijai d. mun.,2016,24,Republic of Lithuania,Alytus county
20–49 employees,Varėna d. mun.,2016,43,Republic of Lithuania,Alytus county
20–49 employees,Birštonas mun.,2016,12,Republic of Lithuania,Kanuas county
20–49 employees,Jonava d. mun.,2016,64,Republic of Lithuania,Kanuas county
20–49 employees,Kaišiadorys d. mun.,2016,50,Republic of Lithuania,Kanuas county
20–49 employees,Kaunas c. mun.,2016,819,Republic of Lithuania,Kanuas county
20–49 employees,Kaunas d. mun.,2016,161,Republic of Lithuania,Kanuas county
20–49 employees,Kėdainiai d. mun.,2016,64,Republic of Lithuania,Kanuas county
20–49 employees,Prienai d. mun.,2016,42,Republic of Lithuania,Kanuas county
20–49 employees,Raseiniai d. mun.,2016,49,Republic of Lithuania,Kanuas county
20–49 employees,Klaipėda c. mun.,2016,357,Republic of Lithuania,Klaipeda county
20–49 employees,Klaipėda d. mun.,2016,104,Republic of Lithuania,Klaipeda county
20–49 employees,Kretinga d. mun.,2016,65,Republic of Lithuania,Klaipeda county
20–49 employees,Neringa mun.,2016,11,Republic of Lithuania,Klaipeda county
20–49 employees,Palanga t. mun.,2016,44,Republic of Lithuania,Klaipeda county
20–49 employees,Skuodas d. mun.,2016,29,Republic of Lithuania,Klaipeda county
20–49 employees,Šilutė d. mun.,2016,77,Republic of Lithuania,Klaipeda county
20–49 employees,Kalvarija mun.,2016,21,Republic of Lithuania,Marijampole county
20–49 employees,Kazlų Rūda mun.,2016,20,Republic of Lithuania,Marijampole county
20–49 employees,Marijampolė mun.,2016,107,Republic of Lithuania,Marijampole county
20–49 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
20–49 employees,Šakiai d. mun.,2016,44,Republic of Lithuania,Marijampole county
20–49 employees,Vilkaviškis d. mun.,2016,46,Republic of Lithuania,Marijampole county
20–49 employees,Biržai d. mun.,2016,46,Republic of Lithuania,Panevezys county
20–49 employees,Kupiškis d. mun.,2016,35,Republic of Lithuania,Panevezys county
20–49 employees,Panevėžys c. mun.,2016,197,Republic of Lithuania,Panevezys county
20–49 employees,Panevėžys d. mun.,2016,67,Republic of Lithuania,Panevezys county
20–49 employees,Pasvalys d. mun.,2016,28,Republic of Lithuania,Panevezys county
20–49 employees,Rokiškis d. mun.,2016,46,Republic of Lithuania,Panevezys county
20–49 employees,Akmenė d. mun.,2016,28,Republic of Lithuania,Siauliai county
20–49 employees,Joniškis d. mun.,2016,43,Republic of Lithuania,Siauliai county
20–49 employees,Kelmė d. mun.,2016,46,Republic of Lithuania,Siauliai county
20–49 employees,Pakruojis d. mun.,2016,41,Republic of Lithuania,Siauliai county
20–49 employees,Radviliškis d. mun.,2016,62,Republic of Lithuania,Siauliai county
20–49 employees,Šiauliai c. mun.,2016,286,Republic of Lithuania,Siauliai county
20–49 employees,Šiauliai d. mun.,2016,86,Republic of Lithuania,Siauliai county
20–49 employees,Jurbarkas d. mun.,2016,36,Republic of Lithuania,Taurage county
20–49 employees,Pagėgiai mun.,2016,15,Republic of Lithuania,Taurage county
20–49 employees,Šilalė d. mun.,2016,36,Republic of Lithuania,Taurage county
20–49 employees,Tauragė d. mun.,2016,74,Republic of Lithuania,Taurage county
20–49 employees,Mažeikiai d. mun.,2016,110,Republic of Lithuania,Telsiai county
20–49 employees,Plungė d. mun.,2016,69,Republic of Lithuania,Telsiai county
20–49 employees,Rietavas mun.,2016,13,Republic of Lithuania,Telsiai county
20–49 employees,Telšiai d. mun.,2016,83,Republic of Lithuania,Telsiai county
20–49 employees,Anykščiai d. mun.,2016,41,Republic of Lithuania,Utena county
20–49 employees,Ignalina d. mun.,2016,26,Republic of Lithuania,Utena county
20–49 employees,Molėtai d. mun.,2016,40,Republic of Lithuania,Utena county
20–49 employees,Utena d. mun.,2016,63,Republic of Lithuania,Utena county
20–49 employees,Visaginas mun.,2016,32,Republic of Lithuania,Utena county
20–49 employees,Zarasai d. mun.,2016,18,Republic of Lithuania,Utena county
20–49 employees,Elektrėnai mun.,2016,34,Republic of Lithuania,Vilnius county
20–49 employees,Šalčininkai d. mun.,2016,56,Republic of Lithuania,Vilnius county
20–49 employees,Širvintos d. mun.,2016,35,Republic of Lithuania,Vilnius county
20–49 employees,Švenčionys d. mun.,2016,33,Republic of Lithuania,Vilnius county
20–49 employees,Trakai d. mun.,2016,66,Republic of Lithuania,Vilnius county
20–49 employees,Ukmergė d. mun.,2016,58,Republic of Lithuania,Vilnius county
20–49 employees,Vilnius c. mun.,2016,1760,Republic of Lithuania,Vilnius county
20–49 employees,Vilnius d. mun.,2016,146,Republic of Lithuania,Vilnius county
50–99 employees,Alytus t. mun.,2016,52,Republic of Lithuania,Alytus county
50–99 employees,Alytus d. mun.,2016,12,Republic of Lithuania,Alytus county
50–99 employees,Druskininkai mun.,2016,16,Republic of Lithuania,Alytus county
50–99 employees,Lazdijai d. mun.,2016,14,Republic of Lithuania,Alytus county
50–99 employees,Varėna d. mun.,2016,18,Republic of Lithuania,Alytus county
50–99 employees,Birštonas mun.,2016,5,Republic of Lithuania,Kanuas county
50–99 employees,Jonava d. mun.,2016,38,Republic of Lithuania,Kanuas county
50–99 employees,Kaišiadorys d. mun.,2016,27,Republic of Lithuania,Kanuas county
50–99 employees,Kaunas c. mun.,2016,372,Republic of Lithuania,Kanuas county
50–99 employees,Kaunas d. mun.,2016,71,Republic of Lithuania,Kanuas county
50–99 employees,Kėdainiai d. mun.,2016,36,Republic of Lithuania,Kanuas county
50–99 employees,Prienai d. mun.,2016,20,Republic of Lithuania,Kanuas county
50–99 employees,Raseiniai d. mun.,2016,30,Republic of Lithuania,Kanuas county
50–99 employees,Klaipėda c. mun.,2016,165,Republic of Lithuania,Klaipeda county
50–99 employees,Klaipėda d. mun.,2016,31,Republic of Lithuania,Klaipeda county
50–99 employees,Kretinga d. mun.,2016,27,Republic of Lithuania,Klaipeda county
50–99 employees,Neringa mun.,2016,6,Republic of Lithuania,Klaipeda county
50–99 employees,Palanga t. mun.,2016,19,Republic of Lithuania,Klaipeda county
50–99 employees,Skuodas d. mun.,2016,6,Republic of Lithuania,Klaipeda county
50–99 employees,Šilutė d. mun.,2016,23,Republic of Lithuania,Klaipeda county
50–99 employees,Kalvarija mun.,2016,6,Republic of Lithuania,Marijampole county
50–99 employees,Kazlų Rūda mun.,2016,11,Republic of Lithuania,Marijampole county
50–99 employees,Marijampolė mun.,2016,60,Republic of Lithuania,Marijampole county
50–99 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
50–99 employees,Šakiai d. mun.,2016,22,Republic of Lithuania,Marijampole county
50–99 employees,Vilkaviškis d. mun.,2016,25,Republic of Lithuania,Marijampole county
50–99 employees,Biržai d. mun.,2016,15,Republic of Lithuania,Panevezys county
50–99 employees,Kupiškis d. mun.,2016,17,Republic of Lithuania,Panevezys county
50–99 employees,Panevėžys c. mun.,2016,104,Republic of Lithuania,Panevezys county
50–99 employees,Panevėžys d. mun.,2016,26,Republic of Lithuania,Panevezys county
50–99 employees,Pasvalys d. mun.,2016,30,Republic of Lithuania,Panevezys county
50–99 employees,Rokiškis d. mun.,2016,24,Republic of Lithuania,Panevezys county
50–99 employees,Akmenė d. mun.,2016,15,Republic of Lithuania,Siauliai county
50–99 employees,Joniškis d. mun.,2016,21,Republic of Lithuania,Siauliai county
50–99 employees,Kelmė d. mun.,2016,21,Republic of Lithuania,Siauliai county
50–99 employees,Pakruojis d. mun.,2016,17,Republic of Lithuania,Siauliai county
50–99 employees,Radviliškis d. mun.,2016,33,Republic of Lithuania,Siauliai county
50–99 employees,Šiauliai c. mun.,2016,118,Republic of Lithuania,Siauliai county
50–99 employees,Šiauliai d. mun.,2016,24,Republic of Lithuania,Siauliai county
50–99 employees,Jurbarkas d. mun.,2016,17,Republic of Lithuania,Taurage county
50–99 employees,Pagėgiai mun.,2016,6,Republic of Lithuania,Taurage county
50–99 employees,Šilalė d. mun.,2016,16,Republic of Lithuania,Taurage county
50–99 employees,Tauragė d. mun.,2016,44,Republic of Lithuania,Taurage county
50–99 employees,Mažeikiai d. mun.,2016,55,Republic of Lithuania,Telsiai county
50–99 employees,Plungė d. mun.,2016,36,Republic of Lithuania,Telsiai county
50–99 employees,Rietavas mun.,2016,8,Republic of Lithuania,Telsiai county
50–99 employees,Telšiai d. mun.,2016,38,Republic of Lithuania,Telsiai county
50–99 employees,Anykščiai d. mun.,2016,19,Republic of Lithuania,Utena county
50–99 employees,Ignalina d. mun.,2016,15,Republic of Lithuania,Utena county
50–99 employees,Molėtai d. mun.,2016,12,Republic of Lithuania,Utena county
50–99 employees,Utena d. mun.,2016,36,Republic of Lithuania,Utena county
50–99 employees,Visaginas mun.,2016,24,Republic of Lithuania,Utena county
50–99 employees,Zarasai d. mun.,2016,16,Republic of Lithuania,Utena county
50–99 employees,Elektrėnai mun.,2016,23,Republic of Lithuania,Vilnius county
50–99 employees,Šalčininkai d. mun.,2016,25,Republic of Lithuania,Vilnius county
50–99 employees,Širvintos d. mun.,2016,8,Republic of Lithuania,Vilnius county
50–99 employees,Švenčionys d. mun.,2016,19,Republic of Lithuania,Vilnius county
50–99 employees,Trakai d. mun.,2016,32,Republic of Lithuania,Vilnius county
50–99 employees,Ukmergė d. mun.,2016,31,Republic of Lithuania,Vilnius county
50–99 employees,Vilnius c. mun.,2016,667,Republic of Lithuania,Vilnius county
50–99 employees,Vilnius d. mun.,2016,58,Republic of Lithuania,Vilnius county
100–149 employees,Alytus t. mun.,2016,19,Republic of Lithuania,Alytus county
100–149 employees,Alytus d. mun.,2016,,Republic of Lithuania,Alytus county
100–149 employees,Druskininkai mun.,2016,9,Republic of Lithuania,Alytus county
100–149 employees,Lazdijai d. mun.,2016,2,Republic of Lithuania,Alytus county
100–149 employees,Varėna d. mun.,2016,5,Republic of Lithuania,Alytus county
100–149 employees,Birštonas mun.,2016,,Republic of Lithuania,Kanuas county
100–149 employees,Jonava d. mun.,2016,2,Republic of Lithuania,Kanuas county
100–149 employees,Kaišiadorys d. mun.,2016,8,Republic of Lithuania,Kanuas county
100–149 employees,Kaunas c. mun.,2016,109,Republic of Lithuania,Kanuas county
100–149 employees,Kaunas d. mun.,2016,22,Republic of Lithuania,Kanuas county
100–149 employees,Kėdainiai d. mun.,2016,13,Republic of Lithuania,Kanuas county
100–149 employees,Prienai d. mun.,2016,2,Republic of Lithuania,Kanuas county
100–149 employees,Raseiniai d. mun.,2016,7,Republic of Lithuania,Kanuas county
100–149 employees,Klaipėda c. mun.,2016,61,Republic of Lithuania,Klaipeda county
100–149 employees,Klaipėda d. mun.,2016,12,Republic of Lithuania,Klaipeda county
100–149 employees,Kretinga d. mun.,2016,9,Republic of Lithuania,Klaipeda county
100–149 employees,Neringa mun.,2016,1,Republic of Lithuania,Klaipeda county
100–149 employees,Palanga t. mun.,2016,5,Republic of Lithuania,Klaipeda county
100–149 employees,Skuodas d. mun.,2016,2,Republic of Lithuania,Klaipeda county
100–149 employees,Šilutė d. mun.,2016,9,Republic of Lithuania,Klaipeda county
100–149 employees,Kalvarija mun.,2016,1,Republic of Lithuania,Marijampole county
100–149 employees,Kazlų Rūda mun.,2016,3,Republic of Lithuania,Marijampole county
100–149 employees,Marijampolė mun.,2016,12,Republic of Lithuania,Marijampole county
100–149 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
100–149 employees,Šakiai d. mun.,2016,5,Republic of Lithuania,Marijampole county
100–149 employees,Vilkaviškis d. mun.,2016,2,Republic of Lithuania,Marijampole county
100–149 employees,Biržai d. mun.,2016,5,Republic of Lithuania,Panevezys county
100–149 employees,Kupiškis d. mun.,2016,3,Republic of Lithuania,Panevezys county
100–149 employees,Panevėžys c. mun.,2016,22,Republic of Lithuania,Panevezys county
100–149 employees,Panevėžys d. mun.,2016,5,Republic of Lithuania,Panevezys county
100–149 employees,Pasvalys d. mun.,2016,7,Republic of Lithuania,Panevezys county
100–149 employees,Rokiškis d. mun.,2016,5,Republic of Lithuania,Panevezys county
100–149 employees,Akmenė d. mun.,2016,7,Republic of Lithuania,Siauliai county
100–149 employees,Joniškis d. mun.,2016,7,Republic of Lithuania,Siauliai county
100–149 employees,Kelmė d. mun.,2016,3,Republic of Lithuania,Siauliai county
100–149 employees,Pakruojis d. mun.,2016,10,Republic of Lithuania,Siauliai county
100–149 employees,Radviliškis d. mun.,2016,7,Republic of Lithuania,Siauliai county
100–149 employees,Šiauliai c. mun.,2016,38,Republic of Lithuania,Siauliai county
100–149 employees,Šiauliai d. mun.,2016,7,Republic of Lithuania,Siauliai county
100–149 employees,Jurbarkas d. mun.,2016,6,Republic of Lithuania,Taurage county
100–149 employees,Pagėgiai mun.,2016,,Republic of Lithuania,Taurage county
100–149 employees,Šilalė d. mun.,2016,5,Republic of Lithuania,Taurage county
